Date,Stock Price Google,Stock Price Microsoft
15-09-2015,635.14,43.98
16-09-2015,635.98,44.3
17-09-2015,642.9,44.25
18-09-2015,629.25,43.48
21-09-2015,635.44,44.11
22-09-2015,622.69,43.9
23-09-2015,622.36,43.87
24-09-2015,625.8,43.91
25-09-2015,611.97,43.94
28-09-2015,594.89,43.29
29-09-2015,594.97,43.44
30-09-2015,608.42,44.26
01-10-2015,611.29,44.61
02-10-2015,626.91,45.57
05-10-2015,641.47,46.63
06-10-2015,645.44,46.75
07-10-2015,642.36,46.8
08-10-2015,639.16,47.45
9-10-2015,643.61,47.11
12-10-2015,646.67,47
13-10-2015,652.3,46.89
14-10-2015,651.16,46.68
15-10-2015,661.74,47.01
16-10-015,662.2,47.51
